Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Aaron Wiggins,OKC,SG,14.5,0.336,12.2,1.1,8.7,1.4,13.3,2.6,17.5,0.336,0.459,0.696,0.958,0.383,0.055,0.8364558922743601
Jalen Johnson,ATL,SF,16.0,0.323,10.3,2.8,14.8,1.7,14.7,3.6,18.1,0.323,0.442,0.625,1.0,0.398,0.152,0.8327930016147826
OG Anunoby,TOR,SF,19.5,0.415,12.1,2.0,7.9,2.7,18.3,3.5,23.3,0.415,0.398,0.566,0.958,0.293,0.13,0.8166457434487544
Tobias Harris,PHI,SF,18.2,0.383,9.0,1.5,10.3,1.4,17.2,2.6,22.1,0.383,0.389,0.495,0.937,0.26,0.07,0.816325267233722
Gary Payton II,GSW,SG,10.3,0.377,18.2,1.2,10.6,2.9,9.1,0.9,13.3,0.377,0.769,0.714,1.0,0.449,0.087,0.8072492238061544
David Duke Jr.,BRK,SG,20.1,0.154,17.4,0.4,7.1,2.1,16.7,3.6,18.2,0.154,0.5,0.543,1.0,0.487,0.051,0.7903908266496266
Tyrese Martin,ATL,SG,16.5,0.304,7.7,0.0,10.0,0.7,16.6,1.4,15.2,0.304,0.429,0.75,1.0,0.261,0.087,0.7817427332956797
Scottie Barnes,TOR,SF,20.3,0.22,12.0,2.2,10.8,1.5,18.8,4.5,21.8,0.22,0.339,0.493,0.841,0.277,0.087,0.7777605216269476
Jabari Walker,POR,SF,17.3,0.283,11.8,1.9,12.2,0.8,15.6,3.5,17.0,0.283,0.232,0.716,0.938,0.404,0.116,0.7482067294423533
Cody Martin,CHO,SF,12.9,0.389,4.9,0.6,9.5,1.4,12.8,2.5,12.4,0.389,0.429,0.545,1.0,0.361,0.083,0.739198414888153
Eugene Omoruyi,DET,SF,19.3,0.39,11.5,0.4,9.4,2.1,17.0,5.6,20.7,0.39,0.472,0.618,1.0,0.404,0.053,0.7338110516254652
Kenyon Martin Jr.,HOU,SF,16.4,0.3,10.0,1.3,10.8,0.9,15.2,4.7,22.0,0.3,0.236,0.772,1.0,0.417,0.275,0.7237194410966884
Isaac Okoro,CLE,SF,11.9,0.483,9.5,1.7,6.7,1.7,10.7,3.1,14.9,0.483,0.854,0.752,0.952,0.376,0.099,0.7188629222539251
Shaedon Sharpe,POR,SG,19.0,0.437,10.7,1.2,7.6,1.0,17.7,2.9,21.6,0.437,0.322,0.559,0.882,0.289,0.108,0.7184976814897026
Kevon Harris,ORL,SG,13.7,0.402,14.4,1.1,8.7,1.8,11.3,4.3,14.9,0.402,0.326,0.516,0.875,0.355,0.075,0.7180181731597667
Josh Green,DAL,SG,14.6,0.442,14.5,0.3,6.9,1.4,12.3,3.0,17.6,0.442,0.698,0.664,1.0,0.285,0.068,0.7174826092117714
Caleb Martin,MIA,SF,14.4,0.431,11.5,1.5,9.7,1.7,13.2,2.7,16.4,0.431,0.415,0.612,0.857,0.245,0.053,0.7148527141700276
Juan Toscano-Anderson,UTA,SF,11.3,0.301,18.1,1.2,9.5,1.1,9.7,1.6,10.5,0.301,0.465,0.661,1.0,0.294,0.035,0.7015494032982009
Josh Okogie,PHO,SG,17.7,0.476,11.2,2.3,10.3,2.0,15.0,7.0,19.2,0.476,0.462,0.448,0.939,0.28,0.087,0.6864338045749501
Markelle Fultz,ORL,PG,21.3,0.128,15.8,1.4,7.4,2.4,18.5,3.9,22.8,0.128,0.368,0.323,0.963,0.299,0.054,0.6815858366412909
Jack White,DEN,SF,14.7,0.474,9.0,2.7,14.8,2.2,14.1,2.2,15.6,0.474,0.667,0.4,1.0,0.316,0.105,0.6809403461571639
